Dataset	Organism	Technique	Target Element	Assay Factor	Conditions	PI	ID
Replication-Copy-Number;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;CNV-seq	D. melanogaster	CNV-seq	Copy Number Variation	Replication-Copy-Number	Late Embryonic stage	MacAlpine, D.	5524
Replication-Copy-Number;S2-DRSC;w1118;Embryos 0-4 hr;Embryo-derived cell-line;CGH	D. melanogaster	CGH	Copy Number Variation	Replication-Copy-Number	Embryos 0-4 hr	MacAlpine, D.	725
Replication-Origin;Kc167;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	DNA Replication	Replication-Origin	Late Embryonic stage	MacAlpine, D.	709
Replication-Origin;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	DNA Replication	Replication-Origin	Larvae 3rd instar	MacAlpine, D.	711
Replication-Origin;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	DNA Replication	Replication-Origin	Late Embryonic stage	MacAlpine, D.	710
Replication-Origin;Tissue:fat-body:SC:1;Oregon-R;L3 stage wandering stage larvae;Fat body;ChIP-chip	D. melanogaster	ChIP-chip	DNA Replication	Replication-Origin	L3 stage wandering stage larvae	MacAlpine, D.	4717
Replication-Origin;Tissue:Midgut:DM:1;Oregon-R;L3 stage wandering stage larvae;Midgut;ChIP-chip	D. melanogaster	ChIP-chip	DNA Replication	Replication-Origin	L3 stage wandering stage larvae	MacAlpine, D.	4718
Replication-Timing;Kc167;Late Embryonic stage;50 base pair;Embryo-derived cell-line;DNA-seq	D. melanogaster	DNA-seq	DNA Replication	Replication-Timing	Late Embryonic stage	MacAlpine, D.	5526
Replication-Timing;Kc167;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	DNA Replication	Replication-Timing	Late Embryonic stage	MacAlpine, D.	668
Replication-Timing;Late Embryonic stage;Embryo-derived cell-line;DNA-seq	D. melanogaster	DNA-seq	DNA Replication	Replication-Timing	Late Embryonic stage	MacAlpine, D.	3630
Replication-Timing;ML-DmBG3-c2;Larvae 3rd instar;50 base pair;CNS-derived cell-line;DNA-seq	D. melanogaster	DNA-seq	DNA Replication	Replication-Timing	Larvae 3rd instar	MacAlpine, D.	5528
Replication-Timing;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	DNA Replication	Replication-Timing	Larvae 3rd instar	MacAlpine, D.	670
Replication-Timing;S2-DRSC;Late Embryonic stage;50 base pair;Embryo-derived cell-line;DNA-seq	D. melanogaster	DNA-seq	DNA Replication	Replication-Timing	Late Embryonic stage	MacAlpine, D.	5527
Replication-Timing;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	DNA Replication	Replication-Timing	Late Embryonic stage	MacAlpine, D.	669
Rhino;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Rhino	Late Embryonic stage	Karpen, G.	4187
RNA polymerase II CTD repeat YSPTSPS (phospho S2);CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II CTD repeat YSPTSPS (phospho S2)	Larvae 3rd instar	Karpen, G.	5576
RNA polymerase II CTD repeat YSPTSPS (phospho S2);Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II CTD repeat YSPTSPS (phospho S2)	Late Embryonic stage	Karpen, G.	5570
RNA polymerase II CTD repeat YSPTSPS (phospho S5);CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II CTD repeat YSPTSPS (phospho S5)	Larvae 3rd instar	Karpen, G.	5579
RNA polymerase II CTD repeat YSPTSPS (phospho S5);Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II CTD repeat YSPTSPS (phospho S5)	Late Embryonic stage	Karpen, G.	5571
RNA polymerase II;16.2;Y cn bw sp;Larvae L2 stage;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II	Larvae L2 stage	White, K.	984
RNA polymerase II;19.9;Y cn bw sp;Embryos 20-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II	Embryos 20-24 hr	White, K.	850
RNA polymerase II;36 base pair;DevStage:Embryo 4-7h:SC:1;Embryos 4-7 hr;ChIP-seq	D. melanogaster	ChIP-seq	DNA Replication	RNA polymerase II	Embryos 4-7 hr	MacAlpine, D.	4193
RNA polymerase II;36 base pair;DevStage:Mixed Embryos 0-24h:SC:1;Embryos mixed stages 0-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	DNA Replication	RNA polymerase II	Embryos mixed stages 0-24 hr	MacAlpine, D.	3251
RNA polymerase II;36 base pair;DevStageFly:Embryo 0-2h:SC:1;Embryos 0-2 hr;ChIP-seq	D. melanogaster	ChIP-seq	DNA Replication	RNA polymerase II	Embryos 0-2 hr	MacAlpine, D.	3625
RNA polymerase II;44;Y cn bw sp;Embryos 12-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II	Embryos 12-16 hr	White, K.	848
RNA polymerase II;Adult Female;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	RNA polymerase II	Adult Female	White, K.	891
RNA polymerase II;CG12196-RNAi;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Late Embryonic stage	Karpen, G.	3712
RNA polymerase II;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Larvae 3rd instar	Karpen, G.	327
RNA polymerase II;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-seq	D. melanogaster	ChIP-seq	DNA ReplicationandNon TF Chromatin binding factor	RNA polymerase II	Larvae 3rd instar	MacAlpine, D.andKarpen, G.	4352
RNA polymerase II;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-seq	D. melanogaster	ChIP-seq	DNA ReplicationandNon TF Chromatin binding factor	RNA polymerase II	Larvae 3rd instar	MacAlpine, D.andKarpen, G.	5580
RNA polymerase II;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Embryos 0-12 hr	White, K.	899
RNA polymerase II;Embryos 0-4 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	RNA polymerase II	Embryos 0-4 hr	White, K.	885
RNA polymerase II;Embryos 16-20 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	RNA polymerase II	Embryos 16-20 hr	White, K.	888
RNA polymerase II;Embryos 4-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factorandTranscriptional Factor	RNA polymerase II	Embryos 4-8 hr	White, K.	886
RNA polymerase II;Embryos 4-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factorandTranscriptional Factor	RNA polymerase II	Embryos 4-8 hr	White, K.	887
RNA polymerase II;Fly-GFP-RNAi;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Late Embryonic stage	Karpen, G.	3713
RNA polymerase II;G9a mutant ;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Larvae 3rd instar	Karpen, G.	5614
RNA polymerase II;HP1a mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Larvae 3rd instar	Karpen, G.	3798
RNA polymerase II;HP1b mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Larvae 3rd instar	Karpen, G.	5616
RNA polymerase II;HP1c mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Larvae 3rd instar	Karpen, G.	3711
RNA polymerase II;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Late Embryonic stage	Karpen, G.	328
RNA polymerase II;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II	Late Embryonic stage	Karpen, G.	5569
RNA polymerase II;Larvae L2 stage;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Larvae L2 stage	White, K.	883
RNA polymerase II;Larvae L3 stage;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factorandTranscriptional Factor	RNA polymerase II	Larvae L3 stage	White, K.	884
RNA polymerase II;Larvae L3 stage;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factorandTranscriptional Factor	RNA polymerase II	Larvae L3 stage	White, K.	889
RNA polymerase II;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Larvae 3rd instar	Karpen, G.	950
RNA polymerase II;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II	Embryos 14-16 hr OR	Karpen, G.	5122
RNA polymerase II;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Larvae 3rd instar	Karpen, G.	3799
RNA polymerase II;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II	Larvae 3rd instar	Karpen, G.	5123
RNA polymerase II;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II	Mixed Adult	Karpen, G.	5124
RNA polymerase II;POF mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Larvae 3rd instar	Karpen, G.	4204
RNA polymerase II;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Late Embryonic stage	Karpen, G.	329
RNA polymerase II;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Late Embryonic stage	Karpen, G.	3295
RNA polymerase II;Y cn bw sp;Embryos 12-16 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Embryos 12-16 hr	White, K.	906
RNA polymerase II;Y cn bw sp;Embryos 4-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II	Embryos 4-8 hr	White, K.	846
RNA polymerase II;Y cn bw sp;Embryos 8-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II	Embryos 8-12 hr	White, K.	847
RNA polymerase II;Y cn bw sp;Larvae L1 stage;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II	Larvae L1 stage	White, K.	851
RNA polymerase II;Y cn bw sp;Larvae L2 stage;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Larvae L2 stage	White, K.	904
RNA polymerase II;Y cn bw sp;Larvae L3 stage;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II	Larvae L3 stage	White, K.	852
RNA polymerase II;Y cn bw sp;Pupae;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RNA polymerase II	Pupae	White, K.	890
RNA polymerase II;Y cn bw sp;Pupae;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II	Pupae	White, K.	853
RPD3;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RPD3	Late Embryonic stage	Karpen, G.	3296
RPD3;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RPD3	Larvae 3rd instar	Karpen, G.	4188
RPD3;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RPD3	Embryos 14-16 hr OR	Karpen, G.	5125
RPD3;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RPD3	Larvae 3rd instar	Karpen, G.	4189
RPD3;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RPD3	Larvae 3rd instar	Karpen, G.	5126
RPD3;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RPD3	Mixed Adult	Karpen, G.	5599
RPD3;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RPD3	Late Embryonic stage	Karpen, G.	3057
RUNT;Embryos 0-12 hr;Embryo;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	RUNT	Embryos 0-12 hr	White, K.	617
scute;Embryos 0-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	scute	Embryos 0-12 hr	White, K.	4099
scute;Embryos 0-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	scute	Embryos 0-8 hr	White, K.	4071
senseless;Embryos 4-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	senseless	Embryos 4-8 hr	White, K.	978
senseless;Embryos 4-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	senseless	Embryos 4-8 hr	White, K.	2577
senseless;SENS-GFP;Embryos 4-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	senseless	Embryos 4-8 hr	White, K.	979
Sin3A;Embryos 0-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Sin3A	Embryos 0-12 hr	White, K.	3232
Smc3;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Smc3	Larvae 3rd instar	Karpen, G.	5568
Smc3;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Smc3	Late Embryonic stage	Karpen, G.	3800
Smc3;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Smc3	Late Embryonic stage	Karpen, G.	4128
SNR1;Y cn bw sp;Pupae;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	SNR1	Pupae	White, K.	601
SPT16;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	SPT16	Late Embryonic stage	Karpen, G.	3058
SPT16;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	SPT16	Late Embryonic stage	Karpen, G.	5146
Stat92E;Embryos 0-12 hr;Embryo;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	Stat92E	Embryos 0-12 hr	White, K.	616
Stat92E;Stat92E-GFP;Embryos 12-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Stat92E	Embryos 12-24 hr	White, K.	5014
Stat92E;White prepupae (WPP);ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Stat92E	White prepupae (WPP)	White, K.	4103
Su(H);Embryos 0-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Su(H)	Embryos 0-8 hr	White, K.	5017
Su(H);Embryos 16-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Su(H)	Embryos 16-24 hr	White, K.	4069
Su(Hw);CG32491-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(Hw)	Larvae 3rd instar	Karpen, G.	3717
Su(Hw);CG6384-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(Hw)	Larvae 3rd instar	Karpen, G.	3714
Su(Hw);CG8573-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(Hw)	Larvae 3rd instar	Karpen, G.	3718
Su(Hw);CG8573-RNAi;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;integrated-gene-model	D. melanogaster	integrated-gene-model	Non TF Chromatin binding factor	Su(Hw)	Late Embryonic stage	Karpen, G.	5147
Su(Hw);CG8591-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(Hw)	Larvae 3rd instar	Karpen, G.	3715
Su(Hw);Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(Hw)	Embryos 0-12 hr	White, K.	27
Su(Hw);Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(Hw)	Embryos 0-12 hr	White, K.	901
Su(Hw);Embryos 16-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Su(Hw)	Embryos 16-24 hr	White, K.	4104
Su(Hw);Fly-LacZ-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(Hw)	Larvae 3rd instar	Karpen, G.	3716
Su(Hw);Fly-LacZ-RNAi;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(Hw)	Late Embryonic stage	Karpen, G.	3719
Su(Hw);Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(Hw)	Late Embryonic stage	Karpen, G.	3801
Su(Hw);ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(Hw)	Larvae 3rd instar	Karpen, G.	951
Su(Hw);Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Su(Hw)	Embryos 14-16 hr OR	Karpen, G.	3958
Su(Hw);Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(Hw)	Embryos 2-4 hr OR	Karpen, G.	5066
Su(Hw);S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(Hw)	Late Embryonic stage	Karpen, G.	330
Su(Hw);S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(Hw)	Late Embryonic stage	Karpen, G.	331
Su(Hw);S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Su(Hw)	Late Embryonic stage	White, K.	4716
Su(Hw);White prepupae (WPP);ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Su(Hw)	White prepupae (WPP)	White, K.	4105
Su(var)3-7;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(var)3-7	Late Embryonic stage	Karpen, G.	3060
Su(var)3-7;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(var)3-7	Larvae 3rd instar	Karpen, G.	2671
Su(var)3-7;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(var)3-7	Embryos 14-16 hr OR	Karpen, G.	3297
Su(var)3-7;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Su(var)3-7	Embryos 14-16 hr OR	Karpen, G.	4943
Su(var)3-7;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	Su(var)3-7	Larvae 3rd instar	Karpen, G.	3059
Su(var)3-7;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Su(var)3-7	Larvae 3rd instar	Karpen, G.	5127
Su(var)3-7;Oregon-R;Mixed Adult;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(var)3-7	Mixed Adult	Karpen, G.	4200
Su(var)3-7;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Su(var)3-7	Mixed Adult	Karpen, G.	5606
Su(var)3-7;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(var)3-7	Late Embryonic stage	Karpen, G.	2672
Su(var)3-9;EGG mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(var)3-9	Larvae 3rd instar	Karpen, G.	4190
Su(var)3-9;Embryos 0-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Su(var)3-9	Embryos 0-12 hr	White, K.	3396
Su(var)3-9;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(var)3-9	Larvae 3rd instar	Karpen, G.	952
Su(var)3-9;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(var)3-9	Larvae 3rd instar	Karpen, G.	3898
Su(var)3-9;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Su(var)3-9	Larvae 3rd instar	Karpen, G.	5128
Su(var)3-9;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(var)3-9	Mixed Adult	Karpen, G.	3802
Su(var)3-9;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(var)3-9	Late Embryonic stage	Karpen, G.	2673
Su(var)3-9;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(var)3-9	Late Embryonic stage	Karpen, G.	3061
Su(var)3-9;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Su(var)3-9	Late Embryonic stage	Karpen, G.	3899
tango;Larvae L3 stage;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	tango	Larvae L3 stage	White, K.	5024
tango;White prepupae (WPP);ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	tango	White prepupae (WPP)	White, K.	5025
TRAMTRACK;Embryos 0-12 hr;Embryo;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	TRAMTRACK	Embryos 0-12 hr	White, K.	615
trem;Adult Female;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	trem	Adult Female	White, K.	3399
UBX;Embryos 0-12 hr;Embryo;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	UBX	Embryos 0-12 hr	White, K.	614
UBX;Embryos 3-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	UBX	Embryos 3-8 hr	White, K.	603
UBX;Embryos 3-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	UBX	Embryos 3-8 hr	White, K.	612
UBX;Embryos 3-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	UBX	Embryos 3-8 hr	White, K.	613
usp;USP-GFP;Embryos 0-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	usp	Embryos 0-12 hr	White, K.	4114
usp;USP-GFP;White prepupae (WPP)+12 hrs;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	usp	White prepupae (WPP)+12 hrs	White, K.	4113
WDS;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	WDS	Late Embryonic stage	Karpen, G.	3062
WDS;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	WDS	Larvae 3rd instar	Karpen, G.	5148
WDS;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	WDS	Larvae 3rd instar	Karpen, G.	5067
WDS;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	WDS	Late Embryonic stage	Karpen, G.	953
Yki;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Yki	Embryos 0-4 hr	White, K.	3823
Yki;Embryos 8-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Yki	Embryos 8-16 hr	White, K.	5029
ZFH1;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	ZFH1	Embryos 0-12 hr	White, K.	604
ZW5;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	ZW5	Larvae 3rd instar	Karpen, G.	3064
ZW5;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	ZW5	Embryos 14-16 hr OR	Karpen, G.	5129
ZW5;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	ZW5	Embryos 2-4 hr OR	Karpen, G.	5265
